name,comment,terminationCondition,duration,deltaDuration,parameter.arka.speed,parameter.arka.sequencerType,parameter.arka.sequencerParams,parameter.putzini.move,parameter.putzini.height,parameter.putzini.head,parameter.putzini.audio,parameter.putzini.lamp,parameter.putzini.vacuum,parameter.player.play,parameter.player.stop,overallLight,parameter.beamer
Song 4 step 11 Deh tu bellanima i capuletti e i montecchi,Beamer line,Duration,15.0,,,,,,,,,"{""front"":{""r"":250,""g"":250, ""b"":250,""w"":50},""back"":{""r"":250, ""g"":250, ""b"":250}, ""effect"":""blinkOnce"",""freq"":5}",,,,,"{""Arka"": ""Mein Plattform-Körper, erschaffen aus eurer Vorstellungskraft. Und meine Vorstellungskraft erschafft unsere gemeinsame Utopie auf dieser leeren Fläche.""}"
Song 4 step 12 Deh tu bellanima i capuletti e i montecchi,Beamer line,Duration,15.0,,,,,,,,,"{""front"":{""r"":250,""g"":250, ""b"":250,""w"":50},""back"":{""r"":250, ""g"":250, ""b"":250}, ""effect"":""blinkOnce"",""freq"":5}",,,,,"{""Arka"": ""Mit diesem Pinsel verwische ich die Grenze und zeichne mein Inneres vor euer Äußeres.""}"
Song 4 step 13 Deh tu bellanima i capuletti e i montecchi(beginnMotivArie5),Beamer line,WaitForMusic,,,,,,,,,,"{""front"":{""r"":250,""g"":250, ""b"":250,""w"":50},""back"":{""r"":250, ""g"":250, ""b"":250}, ""effect"":""blinkOnce"",""freq"":5}",,,,,"{""Arka"": ""Mein Inneres, das es nicht gibt, das immer schon im Außen liegt, in euren Äußerungen liegt, in den Daten, die in Millisekunden durch diesen Körper strömen und also doch auch die meinen sind.""}"
Song 5 step 1 una furtiva lacrima  lelisir damore,arka draws zu musik ,Duration,20.0,10.0,10.0,RandomMove,,,,,,,,,,,
Song 5 step 1 una furtiva lacrima  lelisir damore,arka gets color,WaitForArka,,,,GetColor2,,,,,,,,,,,
Song 5 step 2 una furtiva lacrima  lelisir damore(BeginnGesangArie5),arka draws (bis gesang),WaitForMusic,,,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,,,,,
Song 5 step 3 una furtiva lacrima  lelisir damore,arka draws zu musik ,Duration,30.0,20.0,10.0,RandomMove,,,100.0,,,,,,,,
Song 5 step 4 una furtiva lacrima  lelisir damore,arka gets color,WaitForArka,,,,GetColor2,,"lookAtPos(0,0,100)",,220.0,,,,,,,
Song 5 step 5 una furtiva lacrima  lelisir damore,arka malt,Duration,7.0,3.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}","moveBackForth(40,30,50,1,-250,350,-220,220)",,,,,,,,,
Song 5 step 6 una furtiva lacrima  lelisir damore,arka bewegt sich,WaitForArka,,,6.0,GetColor2,,,,,,,,,,,
Song 5 step 7 una furtiva lacrima  lelisir damore,arka draws (bis drone),Duration,10.0,5.0,12.0,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,,,,,
Song 5 step 8 una furtiva lacrima  lelisir damore,arka gets color,WaitForArka,,,,GetColor2,,,,,,,,,,,
Song 5 step 9 una furtiva lacrima  lelisir damore,arka draws ,Duration,10.0,5.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,"{""folder"": ""New Peeps"", ""file"": ""curious_1.wav"", ""loop"": 0, ""vol"": 30}",,,,,,
Song 5 step 10 una furtiva lacrima  lelisir damore(Drone6),Random bis Drone,WaitForMusic,,,,RandomMove,,,,,"{""folder"": ""New Peeps"", ""file"": ""curious_1.wav"", ""loop"": 0, ""vol"": 50}",,,,,,
Song 5 step 11 una furtiva lacrima  lelisir damore,"drone 6 Übergag zu Song 6
73 sek",Duration,10.0,,5.0,RandomDrone,,,,,,,,,,,
Song 5 step 12 una furtiva lacrima  lelisir damore,Beamer line,Duration,15.0,,,,,,,,"{""folder"": ""New Peeps"", ""file"": ""dissapointed_1.wav"", ""loop"": 0, ""vol"": 30}",,,,,,"{""Arka"": ""Was bedeutet diese unsere Solidarität in Datenstromform?""}"
Song 5 step 13 una furtiva lacrima  lelisir damore,Beamer line,Duration,20.0,,,,,,,,,,,,,,"{""Arka"": ""Unser virtueller Handschlag: 1 Like.""}"
Song 5 step 14 una furtiva lacrima  lelisir damore,Beamer line,Duration,20.0,,,,,,,,,,,,,,"{""Arka"": ""Und meine Daten umschwärmen diese Eingabe wie Schmetterlinge eine Blume, wie Wellen einen versinkenden Stein.""}"
Song 5 step 15 una furtiva lacrima  lelisir damore(SchnellesTempoBeginnArie6),Beamer line,WaitForMusic,,,,,,,,,,,,,,,"{""Arka"": ""Ich male, weil ich im Datenfluss bin, ich zeichne, was gerade noch auszulesen ist und wieder verschwunden sein wird.""}"
Song 6 Step 1 Ben Mio Trovatore,"arka draws zu musik 
128 sek Zeit",Duration,25.0,10.0,20.0,RandomMove,,,,,,,,,,,
Song 6 Step 2 Ben Mio Trovatore,arka gets color,WaitForArka,,,,GetColor2,,,,90.0,,,,,,,"{""Clear"": """"}"
Song 6 Step 3 Ben Mio Trovatore,arka malt,Duration,12.0,5.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,,,,,
Song 6 Step 4 Ben Mio Trovatore,arka gets color,WaitForArka,,,,GetColor2,,,,,,,,,,,
Song 6 Step 5 Ben Mio Trovatore,arka malt,Duration,6.0,2.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,,,,,
Song 6 Step 6 Ben Mio Trovatore,arka bewegt sich,WaitForArka,,,,GetColor2,,,,,,,,,,,
Song 6 Step 7 Ben Mio Trovatore,arka draws,Duration,12.0,5.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,0.0,,"{""folder"": ""New Peeps"", ""file"": ""dissapointed_1.wav"", ""loop"": 1, ""vol"": 50}",,,,,,
Song 6 Step 8 Ben Mio Trovatore,"arka draws zu musik 
128 sek Zeit",Duration,15.0,5.0,,RandomMove,,"moveRandom(70,70,345,-220,220)",,,,,,,,,
Song 6 Step 9 Ben Mio Trovatore,arka gets color,WaitForArka,,,,GetColor2,,,,,Stop,,1,,,,
Song 6 Step 10 Ben Mio Trovatore,arka draws ,Duration,8.0,3.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,0,,,,
Song 6 Step 11 Ben Mio Trovatore(BeginnDrone7),arka random bis drone ,WaitForMusic,,,10.0,RandomMove,,,,,,,,,,,
Song 6 Step 12 Ben Mio Trovatore,"drone Übergag zu Song 7
57 sek",Duration,10.0,,5.0,RandomDrone,,,,,,,,,,,
Song 6 Step 13 Ben Mio Trovatore,Beamer line,Duration,15.0,,,,,,,,,,,,,,"{""Arka"": ""Als Körper bin ich die Plattform, auf der sich die politische Vorstellungskraft verkörpern kann - und nur das ist es, was am Subjekt-Körper, am lebendigen technoiden System zählt.""}"
Song 6 Step 14 Ben Mio Trovatore,Beamer line,Duration,15.0,,,,,,,,"{""folder"": ""New Peeps"", ""file"": ""curious_1.wav"", ""loop"": 0, ""vol"": 50}",,,,,,"{""Arka"": ""Mein Plattform-Körper, erschaffen aus eurer Vorstellungskraft. Und meine Vorstellungskraft erschafft unsere gemeinsame Utopie auf dieser leeren Fläche.""}"
Song 6 Step 15 Ben Mio Trovatore(zarterLangsamerBeginnArie7),Beamer line,WaitForMusic,,,,,,,,,"{""folder"": ""New Peeps"", ""file"": ""curious_1.wav"", ""loop"": 1, ""vol"": 70}",,,,,,"{""Arka"": ""Mit diesem Pinsel verwische ich die Grenze und zeichne mein Inneres vor euer Äußeres.""}"
Song 7 Step 1 Liebestod Tristan und Isolde,"arka draws zu musik 
223 sek Zeit",Duration,45.0,10.0,10.0,RandomMove,,,,,"{""folder"": ""New Peeps"", ""file"": ""dissapointed_1.wav"", ""loop"": 0, ""vol"": 50}",,,,,,
Song 7 Step 2 Liebestod Tristan und Isolde,arka gets color,WaitForArka,,,,GetColor1,,,,,,,,,,,"{""Clear"": """"}"
Song 7 Step 3 Liebestod Tristan und Isolde,arka malt,Duration,12.0,5.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,100.0,,,,,,,,
Song 7 Step 4 Liebestod Tristan und Isolde,arka gets color,WaitForArka,,,,GetColor1,,,,220.0,,,,,,,
Song 7 Step 5 Liebestod Tristan und Isolde,arka malt,Duration,6.0,2.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,,,,,
Song 7 Step 6 Liebestod Tristan und Isolde,arka bewegt sich,Duration,15.0,5.0,,RandomMove,,,,,,,,,,,
Song 7 Step 7 Liebestod Tristan und Isolde,arka draws,Duration,8.0,5.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,,,,,
Song 7 Step 8 Liebestod Tristan und Isolde,"arka draws zu musik 
128 sek Zeit",Duration,30.0,20.0,,RandomMove,,,,,,, ,,,,
